mode,scenario,agent,profit,fulfillment,defaults,final_backlog,training_share,enterprise_share,spot_share
heuristic,baseline,Hyperscaler,845.9778387560654,1.0,0,0.0,0.5138370800747939,0.22067691781117565,0.2140881915090007
heuristic,baseline,PremiumCloud,1507.9062547351205,0.985756995836495,0,0.0,0.3018947522294779,0.8072923334292936,0.05385960367373112
heuristic,baseline,SpotBroker,951.1579244665588,1.0,0,0.0,0.4235687371981332,0.3078749185631752,0.2709704402664135
heuristic,price_war,Hyperscaler,942.1530366791875,0.9892741167365054,0,0.03943675106668526,0.44200867338654903,0.13941854698297756,0.451480088803882
heuristic,price_war,PremiumCloud,934.1492937654422,1.0,0,0.0,0.21748346845216365,0.6504017479664675,0.054446084488505304
heuristic,price_war,SpotBroker,832.1018804721127,0.9981514229190537,0,0.0,0.30333878242148654,0.2286491774278781,0.41527042679363146
heuristic,supply_shock,Hyperscaler,950.1648115268212,0.950418177151438,3,3.0449917217572984,0.5381844283653918,0.2333475500045749,0.22547671590975732
heuristic,supply_shock,PremiumCloud,1608.690339065511,0.9362512360152712,2,1.052467863577343,0.2854924054865183,0.7487222552207193,0.05178997637280026
heuristic,supply_shock,SpotBroker,1254.4782348257,1.0,0,0.0,0.39415616243618556,0.3042798617830973,0.2492305152783601
heuristic,high_volatility,Hyperscaler,874.3313722967507,1.0,0,0.0,0.5142057056936972,0.22142351636214153,0.21406710462801054
heuristic,high_volatility,PremiumCloud,1492.0534422353644,0.9859996871741822,0,0.0,0.3004266381677002,0.8032033962081532,0.05373616890986488
heuristic,high_volatility,SpotBroker,964.3057708616662,1.0,0,0.0,0.4240430163524529,0.30805812351028067,0.2715825071301051
heuristic,no_reputation,Hyperscaler,767.7220566187278,1.0,0,0.0,0.5123260740766594,0.2526633315523603,0.2026445614770021
heuristic,no_reputation,PremiumCloud,1316.4303574904939,0.9967351071572679,0,0.0,0.3234561571123713,0.7404038082440326,0.0670252915665378
heuristic,no_reputation,SpotBroker,978.0469082945178,1.0,0,0.0,0.40823159096868067,0.3069644724586356,0.2707098131800828
heuristic,no_transfer,Hyperscaler,841.8853291556128,1.0,0,0.0,0.5194614880019514,0.22935029916156724,0.21582988124656527
