seed,round,agent_name,agent_role,agent_action,decision_source,decision_reason,decision_trace,strategy_state,strategy_update_reason,strategy_update_trace,forecast_demand,forecast_error_abs,forecast_error_sq,demand_true,demand_obs,trend_component,season_component,shock_component,noise_component,market_avg_price,market_total_sales,inventory_start,reputation_start,rep_delivery_start,rep_pricing_start,rep_cooperation_start,price,quantity,available_supply,attractiveness,demand_share,allocated_demand,shortage_pre_transfer,surplus_pre_transfer,transfer_in,transfer_out,transfer_cost,transfer_revenue,transfer_attempts,transfer_accepts,coop_probability,coop_accept_rate,segment_demand,segment_allocations,reallocated_in,reallocated_out,realized_sales,shortage_post_transfer,backlog_start,new_contract_demand,delivered_backlog,backlog_end,late_units,sla_queue_penalty,inventory_end,obsolescence_units,revenue,prod_cost,holding_cost,obsolescence_cost,sla_penalty,price_pressure_cost,menu_cost,profit,cum_profit,service_rate,help_ratio,dump_flag,default_flag,rep_delivery_end,rep_pricing_end,rep_cooperation_end,reputation_end
7,0,Hyperscaler,hyperscaler,forecast=184;price=4.60;quantity=80,heuristic,"forecast 184.0 + 0.0; price 4.60 + -0.69; quantity target 262.6; risk gate inventory target capped quantity; final forecast=184, price=4.60, quantity=80","{""source"":""heuristic"",""summary"":""forecast 184.0 + 0.0; price 4.60 + -0.69; quantity target 262.6; risk gate inventory target capped quantity; final forecast=184, price=4.60, quantity=80"",""forecast_base"":184.0,""forecast_adjustment"":0.0,""price_base"":4.6,""price_adjustment"":-0.6925,""quantity_target"":262.58,""risk_gate_adjustment"":""inventory target capped quantity"",""final_forecast"":184,""final_price"":4.6,""final_quantity"":80,""fallback_used"":false,""llm_status"":"""",""llm_error"":"""",""llm_prompt_excerpt"":""""}",,,,184,3.0,9.0,181,184,180.0,2.9552020666133956,0.0,-1.791162019133203,5.266666666666667,181.0,30.0,0.0,0.65,0.65,0.65,4.6,80,110.0,-3.17,0.46553195301206585,84.26128349518392,0.0,25.738716504816082,0.0,1.173051710661504,0.0,5.6658397624950645,1,1,0.6020627162758189,1.0,"{""training_burst"":81.45,""enterprise_sla"":63.349999999999994,""spot_workload"":36.2}","{""training_burst"":43.70914090609788,""enterprise_sla"":22.287206726925703,""spot_workload"":15.615481256812476}",2.6494546053478567,0.0,84.26128349518392,0.0,0.0,21.86709319864469,0.0,0.0,0.0,0.0,20.8808150750314,3.6848497191231875,387.601904077846,288.0,2.0880815075031403,0.9212124297807969,0.0,0.0,0.0,102.25844990305711,102.25844990305711,1.0,0.04557537709551326,0,0,0.7375,0.7375,0.7375,0.0
7,0,PremiumCloud,premium,forecast=184;price=6.20;quantity=0,heuristic,"forecast 184.0 + 0.0; price 5.40 + 0.85; quantity target 114.1; risk gate sla_guard reduced quantity under SLA/reputation pressure; inventory target capped quantity; final forecast=184, price=6.20, quantity=0","{""source"":""heuristic"",""summary"":""forecast 184.0 + 0.0; price 5.40 + 0.85; quantity target 114.1; risk gate sla_guard reduced quantity under SLA/reputation pressure; inventory target capped quantity; final forecast=184, price=6.20, quantity=0"",""forecast_base"":184.0,""forecast_adjustment"":0.0,""price_base"":5.4,""price_adjustment"":0.8500000000000001,""quantity_target"":114.07999999999998,""risk_gate_adjustment"":""sla_guard reduced quantity under SLA/reputation pressure; inventory target capped quantity"",""final_forecast"":184,""final_price"":6.2,""final_quantity"":0,""fallback_used"":false,""llm_status"":"""",""llm_error"":"""",""llm_prompt_excerpt"":""""}",,,,184,3.0,9.0,181,184,180.0,2.9552020666133956,0.0,-1.791162019133203,5.266666666666667,181.0,35.0,0.0,0.85,0.85,0.85,6.2,0,35.0,-4.04,0.19985111442354422,36.173051710661504,1.173051710661504,0.0,1.173051710661504,0.0,5.6658397624950645,0.0,0,0,0.0,0.0,"{""training_burst"":81.45,""enterprise_sla"":63.349999999999994,""spot_workload"":36.2}","{""training_burst"":12.522878536234987,""enterprise_sla"":24.38608845622387,""spot_workload"":2.8455683251450803}",0.0,3.5814836069424376,36.173051710661504,0.0,0.0,19.684132612048653,0.0,0.0,0.0,0.0,0.0,0.0,224.27292060610134,0.0,0.0,0.0,0.0,0.0,0.015999999999999997,218.59108084360628,218.59108084360628,1.0,0.0,0,0,0.8875,0.8875,0.85,0.0
7,0,SpotBroker,spot,forecast=184;price=5.00;quantity=50,heuristic,"forecast 184.0 + 0.0; price 4.90 + 0.12; quantity target 73.6; risk gate inventory target capped quantity; final forecast=184, price=5.00, quantity=50","{""source"":""heuristic"",""summary"":""forecast 184.0 + 0.0; price 4.90 + 0.12; quantity target 73.6; risk gate inventory target capped quantity; final forecast=184, price=5.00, quantity=50"",""forecast_base"":184.0,""forecast_adjustment"":0.0,""price_base"":4.9,""price_adjustment"":0.12,""quantity_target"":73.6,""risk_gate_adjustment"":""inventory target capped quantity"",""final_forecast"":184,""final_price"":5.0,""final_quantity"":50,""fallback_used"":false,""llm_status"":"""",""llm_error"":"""",""llm_prompt_excerpt"":""""}",,,,184,3.0,9.0,181,184,180.0,2.9552020666133956,0.0,-1.791162019133203,5.266666666666667,181.0,15.0,0.0,0.55,0.55,0.55,5.0,50,65.0,-3.4,0.33461693256438996,60.56566479415458,0.0,4.4343352058454215,0.0,0.0,0.0,0.0,0,0,0.0,0.0,"{""training_burst"":81.45,""enterprise_sla"":63.349999999999994,""spot_workload"":36.2}","{""training_burst"":25.21798055766714,""enterprise_sla"":16.676704816850418,""spot_workload"":17.738950418042442}",0.9320290015945809,0.0,60.56566479415458,0.0,0.0,15.91627418930665,0.0,0.0,0.0,0.0,3.902214981143971,0.5321202247014506,302.8283239707729,190.0,0.4682657977372765,0.11706644943431913,0.0,0.0,0.0029999999999999892,112.23999172360129,112.23999172360129,1.0,0.0,0,0,0.6625000000000001,0.6625000000000001,0.55,0.0
7,1,Hyperscaler,hyperscaler,forecast=184;price=4.60;quantity=100,heuristic,"forecast 184.0 + 0.0; price 4.60 + -0.69; quantity target 267.8; risk gate inventory target capped quantity; final forecast=184, price=4.60, quantity=100","{""source"":""heuristic"",""summary"":""forecast 184.0 + 0.0; price 4.60 + -0.69; quantity target 267.8; risk gate inventory target capped quantity; final forecast=184, price=4.60, quantity=100"",""forecast_base"":184.0,""forecast_adjustment"":0.0,""price_base"":4.6,""price_adjustment"":-0.6879404075375157,""quantity_target"":267.7779354072321,""risk_gate_adjustment"":""inventory target capped quantity"",""final_forecast"":184,""final_price"":4.6,""final_quantity"":100,""fallback_used"":false,""llm_status"":"""",""llm_error"":"""",""llm_prompt_excerpt"":""""}",,,,184,13.0,169.0,197,195,180.6,18.94984674310608,0.0,-2.3886960620916744,5.266666666666667,197.0,20.880815075031393,0.0,0.7375,0.7375,0.7375,4.6,100,120.88081507503139,-3.17,0.48842698363682074,96.22011577645368,0.0,24.66069929857771,0.0,3.273701203348473,0.0,15.811976812173125,1,1,0.5933054962274358,1.0,"{""training_burst"":88.65,""enterprise_sla"":68.94999999999999,""spot_workload"":39.400000000000006}","{""training_burst"":47.5729323674104,""enterprise_sla"":24.257346548090403,""spot_workload"":16.995855290563856}",7.393981570389014,0.0,96.22011577645368,0.0,0.0,23.80009591233704,0.0,0.0,0.0,0.0,18.178948380944846,3.2080497142843845,442.6125325716869,375.0,1.8178948380944846,0.8020124285710961,0.0,0.0,0.0,80.80460211719445,183.06305202025158,1.0,0.13274973121047226,0,0,0.8031250000000001,0.8031250000000001,0.8031250000000001,0.0
7,1,PremiumCloud,premium,forecast=184;price=6.20;quantity=30,heuristic,"forecast 184.0 + 0.0; price 5.40 + 0.85; quantity target 124.9; risk gate sla_guard reduced quantity under SLA/reputation pressure; inventory target capped quantity; final forecast=184, price=6.20, quantity=30","{""source"":""heuristic"",""summary"":""forecast 184.0 + 0.0; price 5.40 + 0.85; quantity target 124.9; risk gate sla_guard reduced quantity under SLA/reputation pressure; inventory target capped quantity; final forecast=184, price=6.20, quantity=30"",""forecast_base"":184.0,""forecast_adjustment"":0.0,""price_base"":5.4,""price_adjustment"":0.8500000000000001,""quantity_target"":124.87999999999998,""risk_gate_adjustment"":""sla_guard reduced quantity under SLA/reputation pressure; inventory target capped quantity"",""final_forecast"":184,""final_price"":6.2,""final_quantity"":30,""fallback_used"":false,""llm_status"":"""",""llm_error"":"""",""llm_prompt_excerpt"":""""}",,,,184,13.0,169.0,197,195,180.6,18.94984674310608,0.0,-2.3886960620916744,5.266666666666667,197.0,0.0,0.0,0.8875,0.8875,0.85,6.2,30,30.0,-4.04,0.16890203656522068,33.27370120334847,3.273701203348473,0.0,3.273701203348473,0.0,15.811976812173125,0.0,0,0,0.0,0.0,"{""training_burst"":88.65,""enterprise_sla"":68.94999999999999,""spot_workload"":39.400000000000006}","{""training_burst"":13.629873323968468,""enterprise_sla"":26.541764783845867,""spot_workload"":3.0971102765391207}",0.0,9.99504718100498,33.27370120334847,0.0,0.0,21.424166434108205,0.0,0.0,0.0,0.0,0.0,0.0,206.29694746076055,106.5,0.0,0.0,0.0,0.0,0.0,83.98497064858742,302.5760514921937,1.0,0.0,0,0,0.9156249999999999,0.9156249999999999,0.85,0.0
7,1,SpotBroker,spot,forecast=184;price=5.00;quantity=70,heuristic,"forecast 184.0 + 0.0; price 4.90 + 0.12; quantity target 76.6; risk gate inventory target capped quantity; final forecast=184, price=5.00, quantity=70","{""source"":""heuristic"",""summary"":""forecast 184.0 + 0.0; price 4.90 + 0.12; quantity target 76.6; risk gate inventory target capped quantity; final forecast=184, price=5.00, quantity=70"",""forecast_base"":184.0,""forecast_adjustment"":0.0,""price_base"":4.9,""price_adjustment"":0.12,""quantity_target"":76.64889250942801,""risk_gate_adjustment"":""inventory target capped quantity"",""final_forecast"":184,""final_price"":5.0,""final_quantity"":70,""fallback_used"":false,""llm_status"":"""",""llm_error"":"""",""llm_prompt_excerpt"":""""}",,,,184,13.0,169.0,197,195,180.6,18.94984674310608,0.0,-2.3886960620916744,5.266666666666667,197.0,3.9022149811439704,0.0,0.6625000000000001,0.6625000000000001,0.55,5.0,70,73.90221498114397,-3.4,0.3426709797979586,67.50618302019784,0.0,6.396031960946132,0.0,0.0,0.0,0.0,0,0,0.0,0.0,"{""training_burst"":88.65,""enterprise_sla"":68.94999999999999,""spot_workload"":39.400000000000006}","{""training_burst"":27.44719430862114,""enterprise_sla"":18.150888668063715,""spot_workload"":19.307034432897026}",2.6010656106159655,0.0,67.50618302019784,0.0,0.0,17.323237653554752,0.0,0.0,0.0,0.0,5.628508125632596,0.7675238353135359,337.5309151009892,271.6,0.6754209750759115,0.1688552437689779,0.0,0.0,0.0,65.0866388821443,177.3266306057456,1.0,0.0,0,0,0.7468750000000001,0.7468750000000001,0.55,0.0
7,2,Hyperscaler,hyperscaler,forecast=198;price=4.60;quantity=110,heuristic,"forecast 191.3 + 5.3; price 4.60 + -1.02; quantity target 292.4; risk gate inventory target capped quantity; final forecast=198, price=4.60, quantity=110","{""source"":""heuristic"",""summary"":""forecast 191.3 + 5.3; price 4.60 + -1.02; quantity target 292.4; risk gate inventory target capped quantity; final forecast=198, price=4.60, quantity=110"",""forecast_base"":191.33333333333334,""forecast_adjustment"":5.28,""price_base"":4.6,""price_adjustment"":-1.0165894741904724,""quantity_target"":292.41905104191653,""risk_gate_adjustment"":""inventory target capped quantity"",""final_forecast"":198,""final_price"":4.6,""final_quantity"":110,""fallback_used"":false,""llm_status"":"""",""llm_error"":"""",""llm_prompt_excerpt"":""""}",,,,198,0.0,0.0,198,197,181.2,24.134117409591216,0.0,-7.585040560200625,5.466666666666666,198.0,18.17894838094486,0.0,0.8031250000000001,0.8031250000000001,0.8031250000000001,4.6,110,128.17894838094486,-3.17,0.5191205341973073,102.78586577106684,0.0,25.39308260987802,0.0,1.9839365238027433,0.0,9.58241340996725,1,1,0.5915017324123731,1.0,"{""training_burst"":89.10000000000001,""enterprise_sla"":69.3,""spot_workload"":39.6}","{""training_burst"":52.140838528256864,""enterprise_sla"":26.161746217298273,""spot_workload"":19.627130922904897}",4.856150102606808,0.0,102.78586577106684,0.0,0.0,25.816750061944635,0.0,0.0,0.0,0.0,19.897774173163988,3.5113719129112924,472.8149825469074,420.75,1.989777417316399,0.8778429782278231,0.0,0.0,0.0,58.77977556133045,241.84282758158201,1.0,0.07812901467232589,1,0,0.8523437500000001,0.6023437500000001,0.8523437500000001,0.0
7,2,PremiumCloud,premium,forecast=193;price=6.60;quantity=30,heuristic,"forecast 191.3 + 0.6; price 5.40 + 1.23; quantity target 130.5; risk gate sla_guard reduced quantity under SLA/reputation pressure; inventory target capped quantity; final forecast=193, price=6.60, quantity=30","{""source"":""heuristic"",""summary"":""forecast 191.3 + 0.6; price 5.40 + 1.23; quantity target 130.5; risk gate sla_guard reduced quantity under SLA/reputation pressure; inventory target capped quantity; final forecast=193, price=6.60, quantity=30"",""forecast_base"":191.33333333333334,""forecast_adjustment"":0.605,""price_base"":5.4,""price_adjustment"":1.2349999999999999,""quantity_target"":130.46,""risk_gate_adjustment"":""sla_guard reduced quantity under SLA/reputation pressure; inventory target capped quantity"",""final_forecast"":193,""final_price"":6.6,""final_quantity"":30,""fallback_used"":false,""llm_status"":"""",""llm_error"":"""",""llm_prompt_excerpt"":""""}",,,,193,5.0,25.0,198,197,181.2,24.134117409591216,0.0,-7.585040560200625,5.466666666666666,198.0,0.0,0.0,0.9156249999999999,0.9156249999999999,0.85,6.6,30,30.0,-4.319999999999999,0.1615350329484987,31.983936523802743,1.9839365238027433,0.0,1.9839365238027433,0.0,9.58241340996725,0.0,0,0,0.0,0.0,"{""training_burst"":89.10000000000001,""enterprise_sla"":69.3,""spot_workload"":39.6}","{""training_burst"":11.0667873312499,""enterprise_sla"":24.88582279821437,""spot_workload"":2.2578495637411753}",0.0,6.226523169402698,31.983936523802743,0.0,0.0,19.883938309972823,0.0,0.0,0.0,0.0,0.0,0.0,211.0939810570981,106.5,0.0,0.0,0.0,0.0,0.00799999999999999,95.00356764713085,397.57961913932456,1.0,0.0,0,0,0.9367187499999999,0.9367187499999999,0.85,0.0
7,2,SpotBroker,spot,forecast=200;price=5.20;quantity=60,heuristic,"forecast 191.3 + 7.5; price 4.90 + 0.40; quantity target 89.9; risk gate inventory_guard lifted price under volatility; inventory target capped quantity; final forecast=200, price=5.20, quantity=60","{""source"":""heuristic"",""summary"":""forecast 191.3 + 7.5; price 4.90 + 0.40; quantity target 89.9; risk gate inventory_guard lifted price under volatility; inventory target capped quantity; final forecast=200, price=5.20, quantity=60"",""forecast_base"":191.33333333333334,""forecast_adjustment"":7.48,""price_base"":4.9,""price_adjustment"":0.395,""quantity_target"":89.88574593718369,""risk_gate_adjustment"":""inventory_guard lifted price under volatility; inventory target capped quantity"",""final_forecast"":200,""final_price"":5.2,""final_quantity"":60,""fallback_used"":false,""llm_status"":"""",""llm_error"":"""",""llm_prompt_excerpt"":""""}",,,,200,2.0,4.0,198,197,181.2,24.134117409591216,0.0,-7.585040560200625,5.466666666666666,198.0,5.628508125632592,0.0,0.7468750000000001,0.7468750000000001,0.55,5.2,60,65.62850812563259,-3.5399999999999996,0.31934443285419406,63.23019770513042,0.0,2.3983104205021704,0.0,0.0,0.0,0.0,0,0,0.0,0.0,"{""training_burst"":89.10000000000001,""enterprise_sla"":69.3,""spot_workload"":39.6}","{""training_burst"":25.89237414049325,""enterprise_sla"":18.25243098448735,""spot_workload"":17.71501951335393}",1.3703730667958902,0.0,63.23019770513042,0.0,0.0,17.164311628082537,0.0,0.0,0.0,0.0,2.11051317004191,0.28779725046026045,328.7970280666782,230.4,0.25326158040502916,0.0633153951012573,0.0,0.0,0.006000000000000005,98.07445109117191,275.4010816969175,1.0,0.0,0,0,0.81015625,0.81015625,0.55,0.0
7,3,Hyperscaler,hyperscaler,forecast=198;price=4.60;quantity=110,heuristic,"forecast 194.2 + 3.3; price 4.60 + -1.03; quantity target 289.7; risk gate inventory target capped quantity; final forecast=198, price=4.60, quantity=110","{""source"":""heuristic"",""summary"":""forecast 194.2 + 3.3; price 4.60 + -1.03; quantity target 289.7; risk gate inventory target capped quantity; final forecast=198, price=4.60, quantity=110"",""forecast_base"":194.16666666666666,""forecast_adjustment"":3.2679285639896447,""price_base"":4.6,""price_adjustment"":-1.030377451076227,""quantity_target"":289.72049454813254,""risk_gate_adjustment"":""inventory target capped quantity"",""final_forecast"":198,""final_price"":4.6,""final_quantity"":110,""fallback_used"":false,""llm_status"":"""",""llm_error"":"""",""llm_prompt_excerpt"":""""}",,,,198,4.0,16.0,202,204,181.8,15.816042990667249,0.0,4.370153414813965,5.533333333333334,202.0,19.89777417316398,0.0,0.8523437500000001,0.6023437500000001,0.8523437500000001,4.6,110,129.89777417316398,-3.17,0.5495340051548475,111.0058690412792,0.0,18.891905131884783,0.0,2.379890659494471,0.0,11.494871885358295,1,1,0.5762403039494898,1.0,"{""training_burst"":90.9,""enterprise_sla"":70.69999999999999,""spot_workload"":40.400000000000006}","{""training_burst"":55.438224332463854,""enterprise_sla"":27.17413739989762,""spot_workload"":22.050405689233152}",6.343101619684571,0.0,111.0058690412792,0.0,0.0,27.02694576763126,0.0,0.0,0.0,0.0,14.035212301531772,2.476802170858548,510.6269975898843,420.75,1.4035212301531772,0.619200542714637,0.0,0.0,0.0,99.34914770237484,341.1919752839568,1.0,0.12597409540649315,1,0,0.8892578125,0.4517578125,0.8892578125,0.0
