seed,round,agent_name,agent_role,agent_action,decision_source,decision_reason,decision_trace,strategy_state,strategy_update_reason,strategy_update_trace,forecast_demand,forecast_error_abs,forecast_error_sq,demand_true,demand_obs,trend_component,season_component,shock_component,noise_component,market_avg_price,market_total_sales,inventory_start,reputation_start,rep_delivery_start,rep_pricing_start,rep_cooperation_start,price,quantity,available_supply,attractiveness,demand_share,allocated_demand,shortage_pre_transfer,surplus_pre_transfer,transfer_in,transfer_out,transfer_cost,transfer_revenue,transfer_attempts,transfer_accepts,coop_probability,coop_accept_rate,segment_demand,segment_allocations,reallocated_in,reallocated_out,realized_sales,shortage_post_transfer,backlog_start,new_contract_demand,delivered_backlog,backlog_end,late_units,sla_queue_penalty,inventory_end,obsolescence_units,revenue,prod_cost,holding_cost,obsolescence_cost,sla_penalty,price_pressure_cost,menu_cost,profit,cum_profit,service_rate,help_ratio,dump_flag,default_flag,rep_delivery_end,rep_pricing_end,rep_cooperation_end,reputation_end
7,0,Hyperscaler,hyperscaler,forecast=184;price=4.60;quantity=70,heuristic,"forecast 184.0 + 0.0; price 4.60 + -0.57; quantity target 262.6; risk gate inventory target capped quantity; final forecast=184, price=4.60, quantity=70","{""source"":""heuristic"",""summary"":""forecast 184.0 + 0.0; price 4.60 + -0.57; quantity target 262.6; risk gate inventory target capped quantity; final forecast=184, price=4.60, quantity=70"",""forecast_base"":184.0,""forecast_adjustment"":0.0,""price_base"":4.6,""price_adjustment"":-0.5675,""quantity_target"":262.58,""risk_gate_adjustment"":""inventory target capped quantity"",""final_forecast"":184,""final_price"":4.6,""final_quantity"":70,""fallback_used"":false,""llm_status"":"""",""llm_error"":"""",""llm_prompt_excerpt"":""""}",,,,184,3.0,9.0,181,184,180.0,2.9552020666133956,0.0,-2.3029225960284037,5.466666666666666,180.0,30.0,0.65,0.65,0.65,0.65,4.6,70,100.0,-2.3899999999999997,0.5206224730297444,94.23266761838374,0.0,5.7673323816162565,0.0,5.7673323816162565,0.0,27.590918113652172,2,2,0.7009811725178134,1.0,"{""training_burst"":81.45,""enterprise_sla"":63.349999999999994,""spot_workload"":36.2}","{""training_burst"":46.69765284690024,""enterprise_sla"":20.724133769504373,""spot_workload"":16.659882429554774}",10.15099857242436,0.0,94.23266761838374,0.0,0.0,21.04585973329604,0.0,0.0,0.0,0.0,0.0,0.0,433.4702710445652,246.75,0.0,0.0,0.0,0.0,0.0,214.31118915821736,214.31118915821736,1.0,1.0,0,0,0.7375,0.7375,0.7375,0.7375
7,0,PremiumCloud,premium,forecast=184;price=6.80;quantity=0,heuristic,"forecast 184.0 + 0.1; price 5.40 + 1.30; quantity target 114.1; risk gate inventory target capped quantity; final forecast=184, price=6.80, quantity=0","{""source"":""heuristic"",""summary"":""forecast 184.0 + 0.1; price 5.40 + 1.30; quantity target 114.1; risk gate inventory target capped quantity; final forecast=184, price=6.80, quantity=0"",""forecast_base"":184.0,""forecast_adjustment"":0.085,""price_base"":5.4,""price_adjustment"":1.3005,""quantity_target"":114.07999999999998,""risk_gate_adjustment"":""inventory target capped quantity"",""final_forecast"":184,""final_price"":6.8,""final_quantity"":0,""fallback_used"":false,""llm_status"":"""",""llm_error"":"""",""llm_prompt_excerpt"":""""}",,,,184,3.0,9.0,181,184,180.0,2.9552020666133956,0.0,-2.3029225960284037,5.466666666666666,180.0,35.0,0.85,0.85,0.85,0.85,6.8,0,35.0,-3.4399999999999995,0.2111889486437161,38.22519970451261,3.2251997045126117,0.0,2.225199704512633,0.0,10.645355386388436,0.0,0,0,0.0,0.0,"{""training_burst"":81.45,""enterprise_sla"":63.349999999999994,""spot_workload"":36.2}","{""training_burst"":10.736980487904733,""enterprise_sla"":30.609147547412665,""spot_workload"":1.716871225964132}",0.0,4.837799556768919,37.22519970451263,0.9999999999999787,0.0,24.11640227064818,0.0,0.6309032381013472,0.0,0.0,0.0,0.0,253.1313579906859,0.0,0.0,0.0,1.499999999999968,0.0,0.02799999999999999,240.9580026042975,240.9580026042975,0.9738392472052428,0.0,0,0,0.8809598118013107,0.8875,0.85,0.8767299059006554
7,0,SpotBroker,spot,forecast=184;price=5.00;quantity=30,heuristic,"forecast 184.0 + 0.0; price 4.90 + 0.12; quantity target 73.6; risk gate inventory target capped quantity; final forecast=184, price=5.00, quantity=30","{""source"":""heuristic"",""summary"":""forecast 184.0 + 0.0; price 4.90 + 0.12; quantity target 73.6; risk gate inventory target capped quantity; final forecast=184, price=5.00, quantity=30"",""forecast_base"":184.0,""forecast_adjustment"":0.0,""price_base"":4.9,""price_adjustment"":0.12,""quantity_target"":73.6,""risk_gate_adjustment"":""inventory target capped quantity"",""final_forecast"":184,""final_price"":5.0,""final_quantity"":30,""fallback_used"":false,""llm_status"":"""",""llm_error"":"""",""llm_prompt_excerpt"":""""}",,,,184,3.0,9.0,181,184,180.0,2.9552020666133956,0.0,-2.3029225960284037,5.466666666666666,180.0,15.0,0.55,0.55,0.55,0.55,5.0,30,45.0,-2.74,0.26818857832653936,48.54213267710362,3.5421326771036235,0.0,3.5421326771036235,0.0,16.945562727263734,0.0,0,0,0.0,0.0,"{""training_burst"":81.45,""enterprise_sla"":63.349999999999994,""spot_workload"":36.2}","{""training_burst"":24.015366665195028,""enterprise_sla"":12.016718683082948,""spot_workload"":17.823246344481092}",0.0,5.31319901565544,48.54213267710362,0.0,0.0,12.305237996055768,0.0,0.0,0.0,0.0,0.0,0.0,242.7106633855181,111.6,0.0,0.0,0.0,0.0,0.0029999999999999892,114.16210065825437,114.16210065825437,1.0,0.0,0,0,0.6625000000000001,0.6625000000000001,0.55,0.64
7,1,Hyperscaler,hyperscaler,forecast=184;price=4.60;quantity=120,heuristic,"forecast 184.0 + 0.0; price 4.60 + -0.55; quantity target 304.7; risk gate none; final forecast=184, price=4.60, quantity=120","{""source"":""heuristic"",""summary"":""forecast 184.0 + 0.0; price 4.60 + -0.55; quantity target 304.7; risk gate none; final forecast=184, price=4.60, quantity=120"",""forecast_base"":184.0,""forecast_adjustment"":0.0,""price_base"":4.6,""price_adjustment"":-0.5525,""quantity_target"":304.68,""risk_gate_adjustment"":""none"",""final_forecast"":184,""final_price"":4.6,""final_quantity"":120,""fallback_used"":false,""llm_status"":"""",""llm_error"":"""",""llm_prompt_excerpt"":""""}",,,,184,12.0,144.0,196,194,180.6,18.94984674310608,0.0,-3.071180651260724,5.466666666666666,195.36909676189865,0.0,0.7375,0.7375,0.7375,0.7375,4.6,120,120.0,-2.2849999999999997,0.48323789480368184,94.71462738152164,0.0,25.285372618478362,0.0,1.2853726184783625,0.0,6.149222606800485,2,2,0.7363952692743966,1.0,"{""training_burst"":88.2,""enterprise_sla"":68.6,""spot_workload"":39.2}","{""training_burst"":50.84877466256639,""enterprise_sla"":23.910543504956205,""spot_workload"":18.0272502862815}",1.9280589277175437,0.0,94.71462738152164,0.0,0.0,23.91914760928787,0.0,0.0,0.0,0.0,20.4,3.5999999999999996,435.6872859549995,468.0,2.04,0.8999999999999999,0.0,0.0,0.0,-29.103491438200024,185.20769772001734,1.0,0.050834632254500446,1,0,0.8031250000000001,0.5531250000000001,0.8031250000000001,0.7281250000000001
7,1,PremiumCloud,premium,forecast=184;price=6.80;quantity=40,heuristic,"forecast 184.0 + 0.1; price 5.40 + 1.31; quantity target 124.9; risk gate sla_guard reduced quantity under SLA/reputation pressure; inventory target capped quantity; final forecast=184, price=6.80, quantity=40","{""source"":""heuristic"",""summary"":""forecast 184.0 + 0.1; price 5.40 + 1.31; quantity target 124.9; risk gate sla_guard reduced quantity under SLA/reputation pressure; inventory target capped quantity; final forecast=184, price=6.80, quantity=40"",""forecast_base"":184.0,""forecast_adjustment"":0.08767299059006554,""price_base"":5.4,""price_adjustment"":1.3146668501273473,""quantity_target"":124.87999999999998,""risk_gate_adjustment"":""sla_guard reduced quantity under SLA/reputation pressure; inventory target capped quantity"",""final_forecast"":184,""final_price"":6.8,""final_quantity"":40,""fallback_used"":false,""llm_status"":"""",""llm_error"":"""",""llm_prompt_excerpt"":""""}",,,,184,12.0,144.0,196,194,180.6,18.94984674310608,0.0,-3.071180651260724,5.466666666666666,195.36909676189865,0.0,0.8767299059006554,0.8809598118013107,0.8875,0.85,6.8,40,40.0,-3.407924112919213,0.2104033254359839,41.239051785452844,1.239051785452844,0.0,1.239051785452844,0.0,5.927623741606405,0.0,0,0,0.0,0.0,"{""training_burst"":88.2,""enterprise_sla"":68.6,""spot_workload"":39.2}","{""training_burst"":10.918415771881412,""enterprise_sla"":30.386811104622648,""spot_workload"":1.7924025871280538}",0.0,1.8585776781792702,40.6081485473515,0.6309032381013466,0.6309032381013472,23.971570035011528,0.6309032381013472,0.36673348446864423,0.0,0.0,0.0,0.0,280.4255521410793,144.0,0.0,0.0,0.94635485715202,0.0,0.0,129.5515735423209,370.50957614661843,0.984701315602899,0.0,0,0,0.9068951877517077,0.9156249999999999,0.85,0.8981350938758539
7,1,SpotBroker,spot,forecast=184;price=5.00;quantity=60,heuristic,"forecast 184.0 + 0.0; price 4.90 + 0.12; quantity target 78.6; risk gate inventory target capped quantity; final forecast=184, price=5.00, quantity=60","{""source"":""heuristic"",""summary"":""forecast 184.0 + 0.0; price 4.90 + 0.12; quantity target 78.6; risk gate inventory target capped quantity; final forecast=184, price=5.00, quantity=60"",""forecast_base"":184.0,""forecast_adjustment"":0.0,""price_base"":4.9,""price_adjustment"":0.12,""quantity_target"":78.6,""risk_gate_adjustment"":""inventory target capped quantity"",""final_forecast"":184,""final_price"":5.0,""final_quantity"":60,""fallback_used"":false,""llm_status"":"""",""llm_error"":"""",""llm_prompt_excerpt"":""""}",,,,184,12.0,144.0,196,194,180.6,18.94984674310608,0.0,-3.071180651260724,5.466666666666666,195.36909676189865,0.0,0.64,0.6625000000000001,0.6625000000000001,0.55,5.0,60,60.0,-2.632,0.30635877976033427,60.04632083302552,0.04632083302551848,0.0,0.04632083302551848,0.0,0.2215988651940804,0.0,0,0,0.0,0.0,"{""training_burst"":88.2,""enterprise_sla"":68.6,""spot_workload"":39.2}","{""training_burst"":26.432809565552198,""enterprise_sla"":14.30264539042114,""spot_workload"":19.380347126590447}",0.0,0.06948124953827346,60.04632083302552,0.0,0.0,14.339282355700597,0.0,0.0,0.0,0.0,0.0,0.0,300.2316041651276,230.4,0.0,0.0,0.0,0.0,0.0,69.61000529993348,183.77210595818786,1.0,0.0,0,0,0.7468750000000001,0.7468750000000001,0.55,0.7075
7,2,Hyperscaler,hyperscaler,forecast=196;price=4.60;quantity=110,heuristic,"forecast 190.7 + 4.8; price 4.60 + -0.86; quantity target 286.3; risk gate inventory target capped quantity; final forecast=196, price=4.60, quantity=110","{""source"":""heuristic"",""summary"":""forecast 190.7 + 4.8; price 4.60 + -0.86; quantity target 286.3; risk gate inventory target capped quantity; final forecast=196, price=4.60, quantity=110"",""forecast_base"":190.66666666666666,""forecast_adjustment"":4.8,""price_base"":4.6,""price_adjustment"":-0.8627,""quantity_target"":286.292,""risk_gate_adjustment"":""inventory target capped quantity"",""final_forecast"":196,""final_price"":4.6,""final_quantity"":110,""fallback_used"":false,""llm_status"":"""",""llm_error"":"""",""llm_prompt_excerpt"":""""}",,,,196,0.0,0.0,196,195,181.2,24.134117409591216,0.0,-9.752195005972233,5.6000000000000005,195.63326651553135,20.400000000000006,0.7281250000000001,0.8031250000000001,0.5531250000000001,0.8031250000000001,4.6,110,130.4,-2.2962499999999997,0.5147076732132115,100.88270394978946,0.0,29.517296050210547,0.0,5.0144400412008,0.0,23.989081157104625,1,1,0.8105667182083718,1.0,"{""training_burst"":88.2,""enterprise_sla"":68.6,""spot_workload"":39.2}","{""training_burst"":52.949291213867376,""enterprise_sla"":24.30397986383028,""spot_workload"":19.935400920347707}",3.694031951744094,0.0,100.88270394978946,0.0,0.0,24.51968406527683,0.0,0.0,0.0,0.0,20.827427607658286,3.675428401351462,464.0604381690315,420.75,2.0827427607658286,0.9188571003378655,0.0,0.0,0.0,64.29791946503245,249.5056171850498,1.0,0.169881415718803,1,0,0.8523437500000001,0.41484375000000007,0.8523437500000001,0.7210937500000001
7,2,PremiumCloud,premium,forecast=192;price=7.00;quantity=30,heuristic,"forecast 190.7 + 0.6; price 5.40 + 1.68; quantity target 129.8; risk gate sla_guard reduced quantity under SLA/reputation pressure; inventory target capped quantity; final forecast=192, price=7.00, quantity=30","{""source"":""heuristic"",""summary"":""forecast 190.7 + 0.6; price 5.40 + 1.68; quantity target 129.8; risk gate sla_guard reduced quantity under SLA/reputation pressure; inventory target capped quantity; final forecast=192, price=7.00, quantity=30"",""forecast_base"":190.66666666666666,""forecast_adjustment"":0.6398135093875853,""price_base"":5.4,""price_adjustment"":1.6760115997542024,""quantity_target"":129.84,""risk_gate_adjustment"":""sla_guard reduced quantity under SLA/reputation pressure; inventory target capped quantity"",""final_forecast"":192,""final_price"":7.0,""final_quantity"":30,""fallback_used"":false,""llm_status"":"""",""llm_error"":"""",""llm_prompt_excerpt"":""""}",,,,192,4.0,16.0,196,195,181.2,24.134117409591216,0.0,-9.752195005972233,5.6000000000000005,195.63326651553135,0.0,0.8981350938758539,0.9068951877517077,0.9156249999999999,0.85,7.0,30,30.0,-3.522237887348975,0.17864510225102448,35.0144400412008,5.0144400412008,0.0,5.0144400412008,0.0,23.989081157104625,0.0,0,0,0.0,0.0,"{""training_burst"":88.2,""enterprise_sla"":68.6,""spot_workload"":39.2}","{""training_burst"":9.891366706348672,""enterprise_sla"":28.826697664704767,""spot_workload"":1.5873519100370284}",0.0,5.290976239889664,34.64770655673215,0.3667334844686465,0.36673348446864423,22.688527514665292,0.36673348446864423,0.23763460855364893,0.0,0.0,0.0,0.0,245.1010802884056,106.5,0.0,0.0,0.5501002267029698,0.0,0.0040000000000000036,114.05789890459799,484.56747505121643,0.9895262216377838,0.0,0,0,0.9275529462232267,0.9367187499999999,0.85,0.9147920981116134
7,2,SpotBroker,spot,forecast=198;price=5.20;quantity=70,heuristic,"forecast 190.7 + 6.8; price 4.90 + 0.37; quantity target 91.2; risk gate inventory target capped quantity; final forecast=198, price=5.20, quantity=70","{""source"":""heuristic"",""summary"":""forecast 190.7 + 6.8; price 4.90 + 0.37; quantity target 91.2; risk gate inventory target capped quantity; final forecast=198, price=5.20, quantity=70"",""forecast_base"":190.66666666666666,""forecast_adjustment"":6.800000000000001,""price_base"":4.9,""price_adjustment"":0.37,""quantity_target"":91.19999999999999,""risk_gate_adjustment"":""inventory target capped quantity"",""final_forecast"":198,""final_price"":5.2,""final_quantity"":70,""fallback_used"":false,""llm_status"":"""",""llm_error"":"""",""llm_prompt_excerpt"":""""}",,,,198,2.0,4.0,196,195,181.2,24.134117409591216,0.0,-9.752195005972233,5.6000000000000005,195.63326651553135,0.0,0.7075,0.7468750000000001,0.7468750000000001,0.55,5.2,70,70.0,-2.691,0.306647224535764,60.10285600900974,0.0,9.897143990990259,0.0,0.0,0.0,0.0,0,0,0.0,0.0,"{""training_burst"":88.2,""enterprise_sla"":68.6,""spot_workload"":39.2}","{""training_burst"":25.359342079783957,""enterprise_sla"":15.469322471464945,""spot_workload"":17.677247169615267}",1.59694428814557,0.0,60.10285600900974,0.0,0.0,15.021788420057867,0.0,0.0,0.0,0.0,8.709486712071428,1.1876572789188309,312.5348512468507,271.6,1.0451384054485713,0.2612846013621428,0.0,0.0,0.006000000000000005,39.622428240039945,223.3945341982278,1.0,0.0,0,0,0.81015625,0.81015625,0.55,0.758125
7,3,Hyperscaler,hyperscaler,forecast=196;price=4.60;quantity=110,heuristic,"forecast 192.8 + 2.8; price 4.60 + -0.86; quantity target 286.0; risk gate inventory target capped quantity; final forecast=196, price=4.60, quantity=110","{""source"":""heuristic"",""summary"":""forecast 192.8 + 2.8; price 4.60 + -0.86; quantity target 286.0; risk gate inventory target capped quantity; final forecast=196, price=4.60, quantity=110"",""forecast_base"":192.83333333333334,""forecast_adjustment"":2.7729932885150266,""price_base"":4.6,""price_adjustment"":-0.8609070023188559,""quantity_target"":286.04836626363476,""risk_gate_adjustment"":""inventory target capped quantity"",""final_forecast"":196,""final_price"":4.6,""final_quantity"":110,""fallback_used"":false,""llm_status"":"""",""llm_error"":"""",""llm_prompt_excerpt"":""""}",,,,196,7.0,49.0,203,205,181.8,15.816042990667249,0.0,5.618768676189381,5.6000000000000005,202.76236539144637,20.82742760765828,0.7210937500000001,0.8523437500000001,0.41484375000000007,0.8523437500000001,4.6,110,130.82742760765828,-2.3046874999999996,0.5062109379762124,102.76082040917113,0.0,28.066607198487148,0.0,5.37790903014762,0.0,25.727916800226215,1,1,0.8083908113071492,1.0,"{""training_burst"":91.35000000000001,""enterprise_sla"":71.05,""spot_workload"":40.6}","{""training_burst"":53.973160802224776,""enterprise_sla"":24.56478928569285,""spot_workload"":20.38060965028818}",3.8422606709653273,0.0,102.76082040917113,0.0,0.0,24.839938527006524,0.0,0.0,0.0,0.0,19.285393443088598,3.403304725250929,472.6997738821872,420.75,1.9285393443088599,0.8508261813127322,0.0,0.0,0.0,74.89832515679183,324.4039423418416,1.0,0.19161236668597056,1,0,0.8892578125,0.3111328125,0.8892578125,0.7158203125
