mode,scenario,agent,profit,fulfillment,defaults,final_backlog,training_share,enterprise_share,spot_share
llm,baseline,Hyperscaler,893.7118613986215,1.0,0,0.0,0.49197144661223785,0.21203655599531732,0.20342755816415412
llm,baseline,PremiumCloud,1484.8148035249528,0.9760342248470981,0,0.3576943209899098,0.322260141755207,0.8008765916873338,0.06135238770337348
llm,baseline,SpotBroker,994.1380222499913,1.0,0,0.0,0.4533614414835992,0.31568021087287895,0.29656566658374545
llm,price_war,Hyperscaler,959.1259954066583,0.9861408525952842,0,0.5313446999373536,0.43178685956337504,0.13773531290057384,0.43145098505432466
llm,price_war,PremiumCloud,1128.9230439032276,1.0,0,0.0,0.22479841668714814,0.5853130678634944,0.06435385304216909
llm,price_war,SpotBroker,762.2566374424323,0.9863581065957814,1,0.0,0.33827192536648254,0.22364607567071773,0.5019665425739772
llm,supply_shock,Hyperscaler,940.1732799396264,0.9340607733063626,3,3.572669157006199,0.5249048970480841,0.24466602536570195,0.22035200964582227
llm,supply_shock,PremiumCloud,1502.3215276473761,0.885054313214195,4,2.002133562094255,0.29651101980350075,0.6681512607482892,0.06125657218119514
llm,supply_shock,SpotBroker,1154.6658406452473,0.9643265796284074,2,5.52027177928119,0.41136075059094285,0.32655778944581215,0.26327346643142313
llm,high_volatility,Hyperscaler,926.011009842502,1.0,0,0.0,0.4980566810119868,0.2246042178461185,0.20686459114083153
llm,high_volatility,PremiumCloud,1502.4906452527866,0.9708938439903341,1,0.7353769916328567,0.3174783809371579,0.7157705334937695,0.06738687755403791
llm,high_volatility,SpotBroker,903.9449661912811,0.9771505688901096,1,0.0,0.45515761828418244,0.3191342408141691,0.29979570643575965
llm,no_reputation,Hyperscaler,928.8803583884518,1.0,0,0.0,0.4793382205892007,0.23376543102262762,0.19485774672612163
llm,no_reputation,PremiumCloud,1274.6735706992608,0.9851678795990757,0,0.6739869923240673,0.3432701041727009,0.7764462445438814,0.07287748317355308
llm,no_reputation,SpotBroker,979.2060851591511,1.0,0,0.0,0.450366619658498,0.34620285515109955,0.29504538313341094
llm,no_transfer,Hyperscaler,919.258631352508,1.0,0,0.0,0.5109866412066177,0.23457063918429702,0.2143191808806176
